Term,Status,Section Name and Title,Location,Meeting Information,Faculty,Available/Capacity,Credits,Academic Level,Monday,Tuesday,Wednesday,Thursday,Friday,Lecture,Lab,Seminar,DE,Morning,Afternoon,# of Meetings
Fall 2022,Open,ACCT*1220*0101 (6573) Intro Financial Accounting,Guelph,"['LEC Fri\n08:30AM - 10:20AM\nROZH, Room 104', 'SEM Mon\n04:30PM - 05:20PM\nMCKN, Room 225', 'EXAM Tues\n08:30AM - 10:30AM (2022/12/06)\nRoom TBA']",P. Lassou,3 / 48,0.50,Undergraduate,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,2
Fall 2022,Open,ACCT*1220*0102 (6574) Intro Financial Accounting,Guelph,"['LEC Fri\n08:30AM - 10:20AM\nROZH, Room 104', 'SEM Tues\n08:30AM - 09:20AM\nMCKN, Room 227', 'EXAM Tues\n08:30AM - 10:30AM (2022/12/06)\nRoom TBA']",P. Lassou,1 / 48,0.50,Undergraduate,,Yes,,,Yes,Yes,,Yes,,Yes,Yes,2
Fall 2022,Open,ACCT*1220*0103 (6575) Intro Financial Accounting,Guelph,"['LEC Fri\n08:30AM - 10:20AM\nROZH, Room 104', 'SEM Wed\n04:30PM - 05:20PM\nMCKN, Room 228', 'EXAM Tues\n08:30AM - 10:30AM (2022/12/06)\nRoom TBA']",P. Lassou,1 / 48,0.50,Undergraduate,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,2
Fall 2022,Closed,ACCT*1220*0104 (6576) Intro Financial Accounting,Guelph,"['LEC Fri\n08:30AM - 10:20AM\nROZH, Room 104', 'SEM Thur\n12:30PM - 01:20PM\nMACS, Room 121', 'EXAM Tues\n08:30AM - 10:30AM (2022/12/06)\nRoom TBA']",P. Lassou,0 / 48,0.50,Undergraduate,,,,Yes,Yes,Yes,,Yes,,Yes,Yes,2
Fall 2022,Open,ACCT*1220*0105 (6577) Intro Financial Accounting,Guelph,"['LEC Fri\n08:30AM - 10:20AM\nROZH, Room 104', 'SEM Mon\n11:30AM - 12:20PM\nMCKN, Room 226', 'EXAM Tues\n08:30AM - 10:30AM (2022/12/06)\nRoom TBA']",P. Lassou,1 / 48,0.50,Undergraduate,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,2
Fall 2022,Closed,ACCT*1220*0106 (6578) Intro Financial Accounting,Guelph,"['LEC Fri\n08:30AM - 10:20AM\nROZH, Room 104', 'SEM Tues\n02:30PM - 03:20PM\nMACS, Room 121', 'EXAM Tues\n08:30AM - 10:30AM (2022/12/06)\nRoom TBA']",P. Lassou,0 / 48,0.50,Undergraduate,,Yes,,,Yes,Yes,,Yes,,Yes,Yes,2
Fall 2022,Open,ACCT*1220*0107 (6579) Intro Financial Accounting,Guelph,"['LEC Fri\n08:30AM - 10:20AM\nROZH, Room 104', 'SEM Tues\n09:30AM - 10:20AM\nAD-S, Room VIRTUAL', 'EXAM Tues\n08:30AM - 10:30AM (2022/12/06)\nRoom TBA']",P. Lassou,1 / 70,0.50,Undergraduate,,Yes,,,Yes,Yes,,Yes,,Yes,Yes,2
Fall 2022,Open,ACCT*1220*0108 (6580) Intro Financial Accounting,Guelph,"['LEC Fri\n08:30AM - 10:20AM\nROZH, Room 104', 'SEM Wed\n01:30PM - 02:20PM\nAD-S, Room VIRTUAL', 'EXAM Tues\n08:30AM - 10:30AM (2022/12/06)\nRoom TBA']",P. Lassou,2 / 70,0.50,Undergraduate,,,Yes,,Yes,Yes,,Yes,,Yes,Yes,2
Fall 2022,Closed,ACCT*1220*0109 (6581) Intro Financial Accounting,Guelph,"['LEC Fri\n08:30AM - 10:20AM\nROZH, Room 104', 'SEM Mon\n12:30PM - 01:20PM\nMCKN, Room 231', 'EXAM Tues\n08:30AM - 10:30AM (2022/12/06)\nRoom TBA']",P. Lassou,0 / 48,0.50,Undergraduate,Yes,,,,Yes,Yes,,Yes,,Yes,Yes,2
Fall 2022,Open,ACCT*1220*0110 (6582) Intro Financial Accounting,Guelph,"['LEC Fri\n08:30AM - 10:20AM\nROZH, Room 104', 'SEM Thur\n11:30AM - 12:20PM\nMACS, Room 121', 'EXAM Tues\n08:30AM - 10:30AM (2022/12/06)\nRoom TBA']",P. Lassou,1 / 48,0.50,Undergraduate,,,,Yes,Yes,Yes,,Yes,,Yes,Yes,2
Fall 2022,Open,ACCT*1220*DE01 (6583) Intro Financial Accounting,Guelph,"['Distance Education Days TBA\nTimes TBA\nRoom TBA', 'EXAM Tues\n08:30AM - 10:30AM (2022/12/06)\nRoom TBA']",T. Nasreen,8 / 200,0.50,Undergraduate,,,,,,,,,Yes,,,0
Fall 2022,Open,ACCT*2230*01 (6584) Management Accounting,Guelph,"['LEC Tues\n07:00PM - 09:50PM\nROZH, Room 104', 'EXAM Wed\n11:30AM - 01:30PM (2022/12/14)\nRoom TBA']",K. Jagoda,149 / 500,0.50,Undergraduate,,Yes,,,,Yes,,,,,Yes,1
Fall 2022,Open,ACCT*2230*DE01 (6585) Management Accounting,Guelph,"['Distance Education Days TBA\nTimes TBA\nRoom TBA', 'EXAM Wed\n11:30AM - 01:30PM (2022/12/14)\nRoom TBA']",S. Dhaliwal,23 / 325,0.50,Undergraduate,,,,,,,,,Yes,,,0
Fall 2022,Open,ACCT*3280*01 (6586) Auditing I,Guelph,"['LEC Wed, Fri\n01:00PM - 02:20PM\nCRSC, Room 116', 'EXAM Sat\n08:30AM - 10:30AM (2022/12/10)\nRoom TBA']",P. Ghattas,16 / 68,0.50,Undergraduate,,,Yes,,Yes,Yes,,,,,Yes,2
Fall 2022,Open,ACCT*3330*01 (6588) Intermed Financial Account I,Guelph,"['LEC Mon, Wed\n04:00PM - 05:20PM\nMCKN, Room 116', 'EXAM Mon\n02:30PM - 04:30PM (2022/12/12)\nRoom TBA']",S. Wick,8 / 76,0.50,Undergraduate,Yes,,Yes,,,Yes,,,,,Yes,2
Fall 2022,Open,ACCT*3330*02 (6589) Intermed Financial Account I,Guelph,"['LEC Mon, Wed\n01:00PM - 02:20PM\nMCKN, Room 121', 'EXAM Mon\n02:30PM - 04:30PM (2022/12/12)\nRoom TBA']",S. Wick,8 / 76,0.50,Undergraduate,Yes,,Yes,,,Yes,,,,,Yes,2
Fall 2022,Open,ACCT*3340*01 (6590) Intermed Financial Account II,Guelph,"['LEC Wed, Fri\n11:30AM - 12:50PM\nMACS, Room 209', 'EXAM Wed\n08:30AM - 10:30AM (2022/12/07)\nRoom TBA']",S. Scott,5 / 85,0.50,Undergraduate,,,Yes,,Yes,Yes,,,,Yes,Yes,2
Fall 2022,Open,ACCT*3340*02 (6591) Intermed Financial Account II,Guelph,"['LEC Wed, Fri\n02:30PM - 03:50PM\nCRSC, Room 116', 'EXAM Wed\n08:30AM - 10:30AM (2022/12/07)\nRoom TBA']",S. Scott,8 / 65,0.50,Undergraduate,,,Yes,,Yes,Yes,,,,,Yes,2
Fall 2022,Open,ACCT*3350*01 (6592) Taxation,Guelph,"['LEC Tues, Thur\n02:30PM - 03:50PM\nMCKN, Room 306', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",S. Dhaliwal,11 / 38,0.50,Undergraduate,,Yes,,Yes,,Yes,,,,,Yes,2
Fall 2022,Open,ACCT*3350*02 (6593) Taxation,Guelph,"['LEC Tues, Thur\n11:30AM - 12:50PM\nMCKN, Room 305', 'EXAM Thur\n11:30AM - 01:30PM (2022/12/15)\nRoom TBA']",S. Dhaliwal,7 / 38,0.50,Undergraduate,,Yes,,Yes,,Yes,,,,Yes,Yes,2
Fall 2022,Closed,ACCT*4220*01 (6594) Advanced Financial Accounting,Guelph,"['LEC Tues, Thur\n04:00PM - 05:20PM\nMCKN, Room 116', 'EXAM Mon\n02:30PM - 04:30PM (2022/12/12)\nRoom TBA']",R. Baker,0 / 75,0.50,Undergraduate,,Yes,,Yes,,Yes,,,,,Yes,2
Fall 2022,Closed,ACCT*4220*02 (6595) Advanced Financial Accounting,Guelph,"['LEC Tues, Thur\n11:30AM - 12:50PM\nMCKN, Room 116', 'EXAM Mon\n02:30PM - 04:30PM (2022/12/12)\nRoom TBA']",R. Baker,0 / 75,0.50,Undergraduate,,Yes,,Yes,,Yes,,,,Yes,Yes,2
Fall 2022,Open,ACCT*4230*01 (6596) Advanced Management Accounting,Guelph,"['LEC Tues, Thur\n11:30AM - 12:50PM\nMCLN, Room 107', 'EXAM Fri\n08:30AM - 10:30AM (2022/12/16)\nRoom TBA']",K. Jagoda,30 / 50,0.50,Undergraduate,,Yes,,Yes,,Yes,,,,Yes,Yes,2
Fall 2022,Open,ACCT*4270*01 (6597) Auditing II,Guelph,"['LEC Mon, Wed\n04:00PM - 05:20PM\nMAC, Room 149', 'EXAM Wed\n11:30AM - 01:30PM (2022/12/14)\nRoom TBA']",C. Zavitz,65 / 110,0.50,Undergraduate,Yes,,Yes,,,Yes,,,,,Yes,2
Fall 2022,Open,ACCT*4270*02 (6598) Auditing II,Guelph,"['LEC Mon, Wed\n01:00PM - 02:20PM\nMAC, Room 149', 'EXAM Wed\n11:30AM - 01:30PM (2022/12/14)\nRoom TBA']",C. Zavitz,10 / 110,0.50,Undergraduate,Yes,,Yes,,,Yes,,,,,Yes,2
Fall 2022,Open,ACCT*4350*01 (6599) Income Taxation II,Guelph,"['LEC Mon, Wed\n08:30AM - 09:50AM\nMACS, Room 209', 'EXAM Mon\n11:30AM - 01:30PM (2022/12/05)\nRoom TBA']",S. Dhaliwal,2 / 95,0.50,Undergraduate,Yes,,Yes,,,Yes,,,,Yes,Yes,2
Fall 2022,Open,AGR*1110*0101 (6600) Intro to Agri-Food Systems,Guelph,"['LEC Mon, Wed, Fri\n02:30PM - 03:20PM\nALEX, Room 100', 'SEM Tues\n08:30AM - 11:20AM\nCRSC, Room 121A', 'EXAM Fri\n11:30AM - 01:30PM (2022/12/09)\nRoom TBA']","E. Lee, A. Robinson, M. Raizada",2 / 32,1.00,Undergraduate,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,Yes,4
Fall 2022,Closed,AGR*1110*0102 (6601) Intro to Agri-Food Systems,Guelph,"['LEC Mon, Wed, Fri\n02:30PM - 03:20PM\nALEX, Room 100', 'SEM Thur\n08:30AM - 11:20AM\nCRSC, Room 121A', 'EXAM Fri\n11:30AM - 01:30PM (2022/12/09)\nRoom TBA']","E. Lee, A. Robinson, M. Raizada",0 / 32,1.00,Undergraduate,Yes,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,4
Fall 2022,Closed,AGR*1110*0103 (6602) Intro to Agri-Food Systems,Guelph,"['LEC Mon, Wed, Fri\n02:30PM - 03:20PM\nALEX, Room 100', 'SEM Wed\n08:30AM - 11:20AM\nCRSC, Room 121A', 'EXAM Fri\n11:30AM - 01:30PM (2022/12/09)\nRoom TBA']","E. Lee, A. Robinson, M. Raizada",0 / 32,1.00,Undergraduate,Yes,,Yes,,Yes,Yes,,Yes,,Yes,Yes,4
Fall 2022,Open,AGR*1110*0104 (6603) Intro to Agri-Food Systems,Guelph,"['LEC Mon, Wed, Fri\n02:30PM - 03:20PM\nALEX, Room 100', 'SEM Fri\n08:30AM - 11:20AM\nCRSC, Room 121A', 'EXAM Fri\n11:30AM - 01:30PM (2022/12/09)\nRoom TBA']","E. Lee, A. Robinson, M. Raizada",1 / 32,1.00,Undergraduate,Yes,,Yes,,Yes,Yes,,Yes,,Yes,Yes,4
Fall 2022,Open,AGR*1110*0105 (6604) Intro to Agri-Food Systems,Guelph,"['LEC Mon, Wed, Fri\n02:30PM - 03:20PM\nALEX, Room 100', 'SEM Mon\n08:30AM - 11:20AM\nCRSC, Room 121A', 'EXAM Fri\n11:30AM - 01:30PM (2022/12/09)\nRoom TBA']","E. Lee, A. Robinson, M. Raizada",2 / 32,1.00,Undergraduate,Yes,,Yes,,Yes,Yes,,Yes,,Yes,Yes,4
Fall 2022,Open,AGR*2150*01 (6605) Plant Ag. for Int'l Devmt,Guelph,"['LEC Tues, Thur\n02:30PM - 03:50PM\nMCLN, Room 101', 'EXAM Sat\n08:30AM - 10:30AM (2022/12/10)\nRoom TBA']",M. Raizada,16 / 40,0.50,Undergraduate,,Yes,,Yes,,Yes,,,,,Yes,2
Fall 2022,Open,AGR*2320*0101 (6606) Soils in Agroecosystems,Guelph,"['LEC Tues, Thur\n11:30AM - 12:50PM\nALEX, Room 200', 'LAB Fri\n08:30AM - 10:20AM\nALEX, Room 030', 'EXAM Sat\n08:30AM - 10:30AM (2022/12/10)\nRoom TBA']",J. Lauzon,12 / 22,0.50,Undergraduate,,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,3
Fall 2022,Open,AGR*2320*0102 (6607) Soils in Agroecosystems,Guelph,"['LEC Tues, Thur\n11:30AM - 12:50PM\nALEX, Room 200', 'LAB Tues\n03:30PM - 05:20PM\nALEX, Room 030', 'EXAM Sat\n08:30AM - 10:30AM (2022/12/10)\nRoom TBA']",J. Lauzon,3 / 22,0.50,Undergraduate,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,AGR*2320*0103 (6608) Soils in Agroecosystems,Guelph,"['LEC Tues, Thur\n11:30AM - 12:50PM\nALEX, Room 200', 'LAB Mon\n03:30PM - 05:20PM\nALEX, Room 030', 'EXAM Sat\n08:30AM - 10:30AM (2022/12/10)\nRoom TBA']",J. Lauzon,0 / 22,0.50,Undergraduate,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Open,AGR*2320*0104 (6609) Soils in Agroecosystems,Guelph,"['LEC Tues, Thur\n11:30AM - 12:50PM\nALEX, Room 200', 'LAB Thur\n03:30PM - 05:20PM\nALEX, Room 030', 'EXAM Sat\n08:30AM - 10:30AM (2022/12/10)\nRoom TBA']",J. Lauzon,4 / 22,0.50,Undergraduate,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,AGR*2320*0105 (6610) Soils in Agroecosystems,Guelph,"['LEC Tues, Thur\n11:30AM - 12:50PM\nALEX, Room 200', 'LAB Mon\n08:30AM - 10:20AM\nALEX, Room 030', 'EXAM Sat\n08:30AM - 10:30AM (2022/12/10)\nRoom TBA']",J. Lauzon,0 / 22,0.50,Undergraduate,Yes,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,AGR*2350*0101 (6611) Animal Prod Sys & Industry,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nALEX, Room 200', 'LAB Tues\n02:30PM - 05:20PM\nANNU, Room 030', 'EXAM Fri\n02:30PM - 04:30PM (2022/12/16)\nRoom TBA']",K. Wood,0 / 37,0.50,Undergraduate,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,AGR*2350*0102 (6612) Animal Prod Sys & Industry,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nALEX, Room 200', 'LAB Tues\n02:30PM - 05:20PM\nANNU, Room 030', 'EXAM Fri\n02:30PM - 04:30PM (2022/12/16)\nRoom TBA']",K. Wood,0 / 37,0.50,Undergraduate,,Yes,,Yes,,Yes,Yes,,,Yes,Yes,3
Fall 2022,Closed,AGR*2350*0103 (6613) Animal Prod Sys & Industry,Guelph,"['LEC Tues, Thur\n10:00AM - 11:20AM\nALEX, Room 200', 'LAB Wed\n02:30PM - 05:20PM\nANNU, Room 030', 'EXAM Fri\n02:30PM - 04:30PM (2022/12/16)\nRoom TBA']",K. Wood,0 / 37,0.50,Undergraduate,,Yes,Yes,Yes,,Yes,Yes,,,Yes,Yes,3
